"ID","Date","Price (GBP)","Market Cap (GBP)","Total Volume","% 24hr Change","% 7d Change","Class"
"1693","2023-07-22 07:01:13","23245.33498035924","451771521370.57684","6406482095.852592","0.07","-0.12","increase"
"1694","2023-07-22 08:00:49","23296.68381429564","452987137981.44415","5696880564.339672","0.22","-0.11","increase"
"1695","2023-07-22 09:00:59","23293.63620085227","452536638788.9494","7291377465.801635","-0.01","0.08","decrease"
"1696","2023-07-22 10:00:20","23286.428225299223","452772163710.53577","6883717374.936709","-0.03","-0.00","decrease"
"1697","2023-07-22 11:00:58","23256.130770075644","451945277989.4289","4900601388.95739","-0.13","-0.08","decrease"
"1698","2023-07-22 12:00:07","23247.000388153192","451720631459.9253","4459337322.583146","-0.04","-0.12","decrease"
"1699","2023-07-22 13:00:46","23210.48379610374","451275083558.18634","6208417963.213201","-0.16","-0.08","decrease"
"1700","2023-07-22 14:00:49","23219.67565545139","451330284236.5896","2810157747.120807","0.04","-0.11","increase"
"1701","2023-07-22 15:00:36","23229.208032555234","451404290649.5501","5436444861.825754","0.04","-0.29","increase"
"1702","2023-07-22 16:00:35","23252.24995564022","451696799342.03284","5263922976.829559","0.10","-0.18","increase"
"1703","2023-07-22 17:00:19","23260.31160652623","452093852184.1657","4810376390.342579","0.03","-0.11","increase"
"1704","2023-07-22 18:01:02","23209.564184924886","451209151151.4026","4505189268.667138","-0.22","-0.20","decrease"
"1705","2023-07-22 19:00:44","23196.337439596344","450929400871.6248","2332577222.069338","-0.06","-0.22","decrease"
"1706","2023-07-22 20:00:54","23205.882120164595","451023338600.5949","2160593110.593046","0.04","-0.02","increase"
"1707","2023-07-22 21:00:33","23210.091492129817","451094138740.2891","4277268597.669059","0.02","-0.04","increase"
"1708","2023-07-22 22:00:33","23202.93018523541","451059292302.71643","4352471514.528216","-0.03","-0.11","decrease"
"1709","2023-07-22 23:00:25","23190.58595834257","450799657353.16614","5061784270.972989","-0.05","-0.27","decrease"
"1710","2023-07-23 00:00:35","23109.955664343423","448871021278.4615","5246998880.688957","-0.35","-0.65","decrease"
"1711","2023-07-23 01:00:43","23161.95745475779","450159887628.4372","4586775021.467894","0.23","-0.21","increase"
"1712","2023-07-23 02:00:26","23215.43477982587","451238326982.4641","4431846102.443885","0.23","0.08","increase"
"1713","2023-07-23 03:00:36","23235.049341328064","451523345845.4881","3231155742.8374653","0.08","0.13","increase"
"1714","2023-07-23 04:00:24","23218.129879580985","451288921833.58276","5084622267.735227","-0.07","0.03","decrease"
"1715","2023-07-23 05:00:37","23264.102464255728","451410045041.73303","5646807801.0023365","0.20","0.26","increase"
"1716","2023-07-23 06:00:32","23298.46577469261","452951463301.4843","4576835492.204539","0.15","0.47","increase"
"1717","2023-07-23 07:00:42","23269.88604260877","452247565347.43176","5165542749.7321","-0.12","0.69","decrease"
"1718","2023-07-23 08:00:48","23253.21993648374","451899604774.64844","4168581278.080143","-0.07","0.39","decrease"
"1719","2023-07-23 09:00:52","23297.02190399747","452262093887.22217","4499961885.144937","0.19","0.35","increase"
"1720","2023-07-23 10:01:22","23261.393523242026","452128941138.50934","5041447944.291822","-0.15","0.11","decrease"
"1721","2023-07-23 11:00:46","23248.614499196723","452199714314.3666","4817138188.263416","-0.05","0.13","decrease"
"1722","2023-07-23 12:00:36","23248.67381871243","452142070288.9151","5549565156.389933","0.00","-0.07","increase"
"1723","2023-07-23 13:00:50","23269.24945956458","451974087411.67377","5433736820.688404","0.09","-0.13","increase"
"1724","2023-07-23 14:00:43","23254.053232809463","451793501543.9249","5608957663.110854","-0.07","-0.07","decrease"
"1725","2023-07-23 15:00:22","23252.353851307176","451937186790.7018","4001135281.038925","-0.01","-0.00","decrease"
"1726","2023-07-23 16:00:34","23252.68456524957","451923282280.74896","4007944818.748788","0.00","-0.19","increase"
"1727","2023-07-23 17:00:38","23298.70610288927","452489561432.818","4127108012.029136","0.20","0.16","increase"
"1728","2023-07-23 18:00:36","23338.952547000434","453110694136.55725","3944390889.9419355","0.17","0.39","increase"
"1729","2023-07-23 19:00:33","23544.174845944068","455766077467.56635","5448405144.346382","0.88","1.27","increase"
"1730","2023-07-23 20:00:06","23375.452921498967","454530802707.71643","6742597914.125176","-0.72","0.46","decrease"
"1731","2023-07-23 21:01:04","23446.73819859528","455740979579.9595","6575829066.06844","0.30","0.83","increase"
"1732","2023-07-23 22:00:34","23340.803729616135","453267455454.33954","4466994784.526883","-0.45","0.38","decrease"
"1733","2023-07-23 23:01:10","23358.772693078055","454102690491.95575","6464315381.76944","0.08","0.46","increase"
"1734","2023-07-24 00:01:13","23389.328499057206","454670552015.54126","5779725538.130054","0.13","0.39","increase"
"1735","2023-07-24 01:00:40","23364.622156646816","454144475994.441","5115344360.974667","-0.11","0.11","decrease"
"1736","2023-07-24 02:00:21","23253.720720786518","452054262062.4887","6797526241.118481","-0.47","-1.23","decrease"
"1737","2023-07-24 03:00:19","23145.92885048298","450028103975.83136","6873306494.903426","-0.46","-0.98","decrease"
"1738","2023-07-24 04:00:32","23096.788217228644","448896072992.54877","4860305312.137952","-0.21","-1.49","decrease"
"1739","2023-07-24 05:01:26","23148.511685850484","449977031495.9194","6850371090.088062","0.22","-0.82","increase"
"1740","2023-07-24 06:01:06","23139.067685705653","449691783410.7294","4945311178.972488","-0.04","-0.94","decrease"
"1741","2023-07-24 07:00:40","23133.663603381538","449656119925.7917","6975570691.0225115","-0.02","-1.09","decrease"
"1742","2023-07-24 08:00:38","23222.505361239422","451579246491.4225","7613033860.643287","0.38","-0.61","increase"
