"ID","Date","Price (GBP)","Market Cap (GBP)","Total Volume","% 24hr Change","% 7d Change","Class"
"574","2023-06-05 16:00:30","1488.5545944805908","179172964403.92325","5445958376.522291","-1.13","-1.29","decrease"
"575","2023-06-05 17:00:48","1457.5678740734877","175241240759.2848","7173320403.654848","-2.08","-3.34","decrease"
"576","2023-06-05 18:00:31","1459.9765384364782","175667150528.3615","7879116767.271067","0.17","-3.10","increase"
"577","2023-06-05 19:00:37","1453.7471290260335","174868546846.94473","8208413881.926664","-0.43","-3.74","decrease"
"578","2023-06-05 20:00:46","1453.249023315165","174686326047.69342","8563946204.6267805","-0.03","-3.51","decrease"
"579","2023-06-05 21:00:37","1452.496485054471","174674329570.85092","8264787893.388602","-0.05","-3.64","decrease"
"580","2023-06-05 22:00:02","1450.01820246634","174317413012.269","8872523735.42219","-0.17","-3.69","decrease"
"581","2023-06-05 23:00:31","1453.3861342830755","174801223727.20242","8698228834.726557","0.23","-2.36","increase"
"582","2023-06-06 00:00:24","1458.9146411119482","175547244572.69382","8757808459.228527","0.38","0.09","increase"
"583","2023-06-06 01:01:05","1456.7577870758237","175154357227.68042","8303824612.327788","-0.15","-0.22","decrease"
"584","2023-06-06 02:00:26","1452.2265840397554","174657982114.5089","8546840237.411572","-0.31","-0.10","decrease"
"585","2023-06-06 03:00:01","1457.4329569147164","175174528972.8945","8487040443.137173","0.36","0.29","increase"
"586","2023-06-06 04:00:30","1456.176888608868","175079853711.2158","8315834587.841741","-0.09","0.25","decrease"
"587","2023-06-06 05:00:37","1459.2912919537243","175170256691.03464","8368939694.188441","0.21","0.64","increase"
"588","2023-06-06 06:00:45","1459.2476882954195","175509129472.318","8047654326.929722","-0.00","0.40","decrease"
"589","2023-06-06 07:00:42","1457.3225296720227","175261082261.34375","8184503892.897165","-0.13","-0.11","decrease"
"590","2023-06-06 08:00:27","1461.5201448560954","175575813189.2492","8264870896.868139","0.29","0.33","increase"
"591","2023-06-06 09:01:00","1461.2116989805602","175646451115.66315","8250724047.584149","-0.02","0.62","decrease"
"592","2023-06-06 10:00:13","1464.762597891045","176023859353.73276","8288156664.197319","0.24","0.50","increase"
"593","2023-06-06 11:00:10","1466.7128387666926","176296996230.8162","8311375264.1481695","0.13","0.72","increase"
"594","2023-06-06 12:00:33","1461.1576501078496","175718628526.88025","7340239552.94448","-0.38","0.13","decrease"
"595","2023-06-06 13:00:41","1459.1758677396867","175339463480.13156","8409055100.406336","-0.14","-0.00","decrease"
"596","2023-06-06 14:00:40","1464.1397559472555","176216471278.00043","7610883448.158088","0.34","0.47","increase"
"597","2023-06-06 15:00:59","1479.649027516526","177852983799.58356","9149911125.80789","1.06","1.24","increase"
"598","2023-06-06 16:00:52","1482.1367411186286","178440109164.85568","8911498728.748516","0.17","1.43","increase"
"599","2023-06-06 17:00:56","1494.606000331614","178912614955.82648","7525688741.847795","0.84","2.04","increase"
"600","2023-06-06 18:00:27","1510.6612338712296","181591380474.27985","7300990301.506684","1.07","3.00","increase"
"601","2023-06-06 19:00:13","1508.2088534683849","181348802014.5029","7376089256.334147","-0.16","3.22","decrease"
"602","2023-06-06 20:00:30","1525.8933663718572","182058431515.7134","7548808435.215726","1.17","4.57","increase"
"603","2023-06-06 21:01:14","1511.319148400907","181920306068.83017","7819299566.362972","-0.96","3.22","decrease"
"604","2023-06-06 22:01:12","1513.8940708614043","181972175968.2254","7653729019.486855","0.17","2.31","increase"
"605","2023-06-06 23:00:25","1514.5164111636598","182096377873.88843","7591106953.186037","0.04","2.18","increase"
"606","2023-06-07 00:00:25","1515.5338202496869","182054659355.77307","7677591948.080676","0.07","1.40","increase"
"607","2023-06-07 01:00:35","1519.61257645867","182709657706.0543","7991758417.304343","0.27","0.59","increase"
"608","2023-06-07 02:00:20","1513.3646413133713","181782375436.23837","8105050760.337582","-0.41","0.34","decrease"
"609","2023-06-07 03:00:22","1511.1366573870212","181637532350.4749","8176310498.596655","-0.15","-0.97","decrease"
"610","2023-06-07 04:00:56","1511.4123794537072","181570286088.5203","8335341239.88511","0.02","0.01","increase"
"611","2023-06-07 05:00:52","1512.2678938576555","181747789104.1072","8378852820.4832325","0.06","-0.11","increase"
"612","2023-06-07 06:00:19","1514.555149867093","181890656524.44357","8365307872.626805","0.15","0.00","increase"
"613","2023-06-07 07:00:01","1513.0321586274579","181930181541.29202","8239315534.488856","-0.10","-0.17","decrease"
"614","2023-06-07 08:00:09","1511.3408501911163","182047039418.71533","8407773081.261222","-0.11","-0.54","decrease"
"615","2023-06-07 09:00:28","1509.0733578652744","181556423696.00504","8450454719.858549","-0.15","-0.28","decrease"
"616","2023-06-07 10:00:38","1496.787577946577","179917144937.0272","7716557761.752515","-0.81","-0.95","decrease"
"617","2023-06-07 11:00:06","1492.1048575047741","179287121352.74127","8090771479.303649","-0.31","-1.28","decrease"
"618","2023-06-07 12:01:36","1502.4620508911744","180424113297.04196","8138998920.212989","0.69","-0.65","increase"
"619","2023-06-07 13:01:29","1497.6832968410158","180184668043.18484","8811577134.572252","-0.32","-1.11","decrease"
"620","2023-06-07 14:00:05","1492.7739602914353","179290521297.17142","8490815805.399606","-0.33","-1.34","decrease"
"621","2023-06-07 15:01:31","1478.2468262454065","177784423889.5563","8446411089.391905","-0.97","-2.19","decrease"
"622","2023-06-07 16:00:32","1476.2855100863355","178130755310.22638","8362049063.053441","-0.13","-2.17","decrease"
"623","2023-06-07 17:01:04","1478.5503360321943","177922198933.74115","8306791210.501662","0.15","-1.22","increase"
"624","2023-06-07 18:00:39","1487.9301912587919","178494796198.9708","7532248635.01743","0.63","-0.28","increase"
"625","2023-06-07 19:00:00","1486.7317512790617","178715195376.8297","7657914215.569735","-0.08","-1.05","decrease"
"626","2023-06-07 20:00:22","1488.773338196043","178637229813.32135","7409046959.887079","0.14","-0.59","increase"
"627","2023-06-07 21:00:54","1481.6052844645897","178092158525.06598","6892595326.301962","-0.48","-0.75","decrease"
"628","2023-06-07 22:00:09","1475.2139547641807","177568227549.0405","6659376939.019362","-0.43","-0.21","decrease"
"629","2023-06-07 23:00:08","1471.6777914843901","176980088730.3931","6793028754.372663","-0.24","-0.31","decrease"
"630","2023-06-08 00:01:12","1472.3170837419893","177050359471.72226","6809166634.411285","0.04","-0.42","increase"
"631","2023-06-08 01:00:37","1474.3947025123182","177204994469.21286","6694590398.81616","0.14","-0.91","increase"
"632","2023-06-08 02:00:36","1477.119458126696","177592821614.06354","6693026509.512776","0.18","-0.65","increase"
"633","2023-06-08 03:00:46","1477.4399668846158","177602491256.8648","6176095020.429415","0.02","-0.76","increase"
"634","2023-06-08 04:00:31","1473.40330482597","177116047224.07388","6592098762.369711","-0.27","-0.55","decrease"
"635","2023-06-08 05:00:06","1475.9039418214563","177442557782.99017","6296028798.447832","0.17","0.05","increase"
"636","2023-06-08 06:00:20","1474.6723938824027","177536711080.6316","6540397317.517619","-0.08","0.20","decrease"
"637","2023-06-08 07:00:37","1478.8577759801606","177666820692.1143","5916478807.648063","0.28","0.44","increase"
